variant,n_train,n_train_chunks,n_test,mae,mae_baseline,rho,mean_shift,median_shift,n_early
A  as-received manifest labels,42,5116,14,144.54974674103107,238.42517006802726,0.6893365675647726,-206.42857142857142,-219.0,11
B  strict: classicizing authors reclassified,34,4449,22,100.77779745338577,218.10726643598616,0.8036998903789822,-296.77272727272725,-342.0,22
C  date-blind: train only on <= 50 CE,26,4182,11,120.23723166737157,149.03846153846155,0.665183574621469,-396.54545454545456,-407.0,11
